City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Jieshi,CN,76.57,few clouds,22.8134,115.8257,Yuehai Hotel
3,Rikitea,PF,76.64,overcast clouds,-23.1203,-134.9692,Pension Maro'i
7,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Mizdah,LY,78.93,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
14,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Massillon,US,87.37,scattered clouds,40.7967,-81.5215,Hampton Inn Massillon
21,Atuona,PF,79.93,broken clouds,-9.8,-139.0333,Villa Enata
22,Cozumel,MX,87.87,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
25,Bom Jesus,BR,80.53,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
42,Dong Hoi,VN,82.38,overcast clouds,17.4833,106.6,Nam Long Hotel
44,Lompoc,US,76.78,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
49,Jamestown,US,83.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
57,Dhidhdhoo,MV,81.79,overcast clouds,6.8833,73.1,Dhidhoo beach
66,Sabratah,LY,88.74,scattered clouds,32.7933,12.4885,تقاطع اثار صبراتة
67,Sinnamary,GF,76.06,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
70,Biak,ID,75.29,broken clouds,-0.9131,122.8766,Penginapan Kim
80,Grand Forks,US,85.93,clear sky,47.9417,-97.4337,Warrior Inn
84,Hilo,US,84.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
90,Padang,ID,75.56,broken clouds,-0.9492,100.3543,Mercure Padang
94,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
95,Xiaoyi,CN,82.54,overcast clouds,34.6178,109.703,
97,Xiamen,CN,75.25,broken clouds,24.4798,118.0819,Xiamen Dongchen Hotel
98,Nalut,LY,88.63,scattered clouds,30.3333,10.85,
99,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
102,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
106,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
108,Sola,VU,77.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
109,Hithadhoo,MV,82.65,clear sky,-0.6,73.0833,Scoop Guest House
110,Iberia,US,85.96,overcast clouds,29.9502,-91.7507,back to back rv park
112,Butaritari,KI,82.4,light rain,3.0707,172.7902,Isles Sunset Lodge
119,Gigmoto,PH,80.82,overcast clouds,13.7796,124.39,Cj's Travellers Inn
120,Victoria,HK,82.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
122,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
124,Avera,US,89.47,overcast clouds,33.194,-82.5271,
126,Broome,US,88.56,scattered clouds,42.2506,-75.833,Chenango Valley State Park
127,Dewa,IN,84.2,clear sky,27.0333,81.1667,Al-madina Guest House
128,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
131,Kavaratti,IN,82.36,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
138,Mineral Wells,US,87.53,few clouds,32.8085,-98.1128,The Baker Hotel and Spa
