City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Jieshi,CN,22.8134,115.8257,76.57,84,18,16.62,few clouds
1,Tasiilaq,GL,65.6145,-37.6368,41.16,91,98,5.12,overcast clouds
2,Albany,US,42.6001,-73.9662,90.25,51,45,1.99,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,76.64,84,98,15.88,overcast clouds
4,Namibe,AO,-15.1961,12.1522,74.07,54,50,8.39,scattered clouds
5,Ribeira Grande,PT,38.5167,-28.7,65.21,87,100,7.72,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,64.6,35,0,8.68,clear sky
7,Kapaa,US,22.0752,-159.319,82.72,71,40,5.01,scattered clouds
8,Mizdah,LY,31.4451,12.9801,78.93,21,10,11.56,clear sky
9,New Norfolk,AU,-42.7826,147.0587,51.91,78,100,1.01,light rain
10,Coahuayana,MX,18.7333,-103.6833,94.48,51,82,8.05,broken clouds
11,Kaitangata,NZ,-46.2817,169.8464,47.44,79,89,3.62,overcast clouds
12,Pisco,PE,-13.7,-76.2167,66.02,77,0,8.05,clear sky
13,Barrow,US,71.2906,-156.7887,30.22,93,90,14.97,mist
14,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,35,5.99,scattered clouds
15,Castro,BR,-24.7911,-50.0119,60.78,72,95,3.87,overcast clouds
16,Nikolskoye,RU,59.7035,30.7861,60.69,79,66,3.71,broken clouds
17,Yellowknife,CA,62.456,-114.3525,50.56,53,75,5.01,broken clouds
18,Cape Town,ZA,-33.9258,18.4232,72.01,27,0,12.48,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,11.83,clear sky
20,Massillon,US,40.7967,-81.5215,87.37,56,40,1.01,scattered clouds
21,Atuona,PF,-9.8,-139.0333,79.93,64,63,6.69,broken clouds
22,Cozumel,MX,20.5083,-86.9458,87.87,62,75,9.22,broken clouds
23,Bluff,NZ,-46.6,168.3333,49.8,85,66,9.24,broken clouds
24,Saint-Joseph,RE,-21.3667,55.6167,71.98,87,66,11.59,light rain
25,Bom Jesus,BR,-9.0744,-44.3586,80.53,35,100,5.91,overcast clouds
26,Sept-Iles,CA,50.2001,-66.3821,59.52,64,75,4.61,broken clouds
27,Cherskiy,RU,68.75,161.3,66.52,37,100,19.84,overcast clouds
28,Luderitz,NA,-26.6481,15.1594,69.28,31,0,9.31,clear sky
29,Zhigansk,RU,66.7697,123.3711,50.7,44,100,9.69,overcast clouds
30,Xuanhua,CN,40.6103,115.0447,69.3,42,100,7.36,light rain
31,Khatanga,RU,71.9667,102.5,33.93,93,96,6.98,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,44.26,57,40,12.66,scattered clouds
33,Saint George,US,37.1041,-113.5841,102.67,10,1,3.0,clear sky
34,Ulaanbaatar,MN,47.9077,106.8832,39.33,81,75,10.92,broken clouds
35,Hermanus,ZA,-34.4187,19.2345,66.9,43,1,12.03,clear sky
36,Hobart,AU,-42.8794,147.3294,52.27,82,75,1.01,light rain
37,Secunda,ZA,-26.55,29.1667,40.32,95,7,4.7,light rain
38,Armizonskoye,RU,55.9461,67.6736,55.11,61,0,7.0,clear sky
39,Ponta Do Sol,PT,32.6667,-17.1,66.83,75,3,4.79,clear sky
40,Cabo San Lucas,MX,22.8909,-109.9124,101.52,45,1,10.36,clear sky
41,Udachnyy,RU,66.4167,112.4,42.8,67,91,23.76,overcast clouds
42,Dong Hoi,VN,17.4833,106.6,82.38,74,100,6.67,overcast clouds
43,Mataura,NZ,-46.1927,168.8643,49.48,83,72,1.99,broken clouds
44,Lompoc,US,34.6391,-120.4579,76.78,73,90,5.99,overcast clouds
45,Klaksvik,FO,62.2266,-6.589,49.12,98,100,15.05,overcast clouds
46,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.86,67,85,11.41,overcast clouds
47,Berlevag,NO,70.8578,29.0864,39.25,72,6,1.97,clear sky
